term,tc_score
防火墙,444.1460
技术,235.1953
网络安全,213.5345
网络,198.2993
产品,163.9399
进行,157.5833
系统,116.7568
计算机,113.7521
信息,107.2966
应用,103.7187
数据,100.5266
network,95.7834
the,93.2317
计算机网络,92.3526
访问,90.5110
攻击,80.5036
数据包,77.7468
security,77.5689
是否,72.4201
检测,72.3663
测评,70.6061
technology,69.8997
功能,69.4882
用户,69.4345
信息安全,68.0342
判定,63.9897
firewall,63.5749
and,63.3930
网络工程,63.2280
实现,61.7088
防护,60.6116
提供,57.8959
方法,57.7092
of,55.7233
设置,54.1754
协议,54.0927
地址,53.6408
IPv6,52.9447
要求,51.1381
情况,49.6370
策略,49.3162
IP,48.6095
能够,46.8565
符合,46.2902
预期,44.4609
验证,44.1939
入侵,44.1227
使用,43.8648
支持,42.0855
安全性,41.9901
information,41.6286
开发者,40.9321
轨道交通,40.3306
HTTP,39.6692
相关,39.4021
分析,38.8927
安全策略,38.4661
规则,35.9336
过滤,35.6686
路由,35.0753
实际,34.5901
服务器,34.3450
研究,33.5876
控制策略,33.0247
连接,32.6805
访问控制,32.4714
配置,32.3498
包括,31.8966
computer,31.6340
管理,31.6212
Snort,31.3119
需要,30.1726
识别,29.9636
日志,29.8501
Web,29.6731
流量,29.4257
问题,29.4086
运行,29.2558
测试,28.9009
检查,27.9611
过程,27.7713
满足,27.6925
采用,27.1257
设计,26.9684
protection,26.9632
接口,26.8290
企业,26.3368
存在,26.2359
匹配,26.2145
保护,26.1532
数据库,25.7099
内容,25.4305
类型,25.2033
Iptables,24.8394
处理,24.6860
环境,24.5630
发展,24.4545
方式,24.0217
application,23.9360
相应,23.7970
提高,23.5693
工作,23.5520
加密技术,23.5369
Internet,23.4650
硬件,22.6211
描述,22.5470
认证,22.0201
互联网,21.9869
客户端,21.9821
模块,21.4475
部署,21.1318
目的,21.1075
网络系统,21.1027
软件,21.0162
影响,20.5132
控制,20.4200
防御,20.3207
计算机病毒,20.2922
CERNET,20.2576
路由器,20.0963
管理员,19.7787
NAT,19.5890
保证,19.3532
威胁,19.0224
作用,19.0207
事件,18.9669
Abstract,18.9370
生效,18.6280
授权,18.3909
利用,18.2248
请求,18.1066
to,18.0937
建立,18.0810
状态,17.9783
选择,17.8279
行为,17.8165
方面,17.7883
区域,17.5043
system,17.5000
加密,17.4093
风险,17.1893
on,17.0732
设备,16.9942
计算机信息,16.8050
子系统,16.6602
划分,16.2745
WEB,16.2115
模式,16.1663
时间,16.1583
based,16.0685
操作,16.0585
资源,15.9963
传输,15.9284
应用层,15.7590
体系结构,15.6909
端口,15.6609
in,15.5836
服务,15.5656
发送,15.5237
所示,15.4000
平台,15.3802
具有,15.3755
产生,15.3701
China,15.3645
身份,14.7731
形式,14.6190
development,14.5672
提升,14.5140
虚拟化,14.3098
监控,14.2163
维护,14.1880
达到,14.1697
Network,14.0804
漏洞,14.0308
能力,13.9827
允许,13.8749
深度,13.6081
机制,13.5991
需求,13.5921
确保,13.5839
Protocol,13.5136
核心,13.4778
病毒,13.4553
嵌入式,13.4144
intrusion,13.3535
detection,13.3461
FPGA,13.2660
有限公司,13.2297
形成,12.9922
IPS,12.9917
校园网,12.9368
MAC,12.8806
黑客,12.6972
保障,12.6914
发现,12.6890
构建,12.6797
Gbps,12.6630
transit,12.6623
参考文献,12.6488
定义,12.6480
Research,12.6366
网络流量,12.6306
计算机系统,12.5940
SPA,12.4581
TCP,12.4222
人们,12.4128
模型,12.3933
防止,12.3915
目标,12.3451
cybersecurity,12.2329
权限,12.0726
发生,12.0686
信息技术,12.0418
配置管理,12.0090
关键词,11.9313
动态,11.7882
记录,11.7759
Keywords,11.7315
速率,11.5949
数字,11.5161
接入,11.4842
增加,11.4645
源地址,11.4597
吞吐量,11.4334
IPv4,11.4172
Linux,11.1865
解析,11.1745
时间段,10.9515
造成,10.8815
基础,10.8664
this,10.8428
垃圾邮件,10.8407
条件,10.8398
设定,10.5947
参数,10.5716
包含,10.5370
网络层,10.5096
IEC,10.5036
paper,10.4893
文件,10.4200
优化,10.3001
节点,10.2962
受到,10.2909
传统,10.2745
报文,10.2658
执行,10.2528
发起,10.2240
GB,10.2232
证据,10.2163
文档,10.2154
小于,10.2154
routing,10.1473
packet,10.1258
性能,10.0619
出口,10.0334
IDS,10.0116
University,9.9904
恶意,9.9837
无法,9.9756
完成,9.9690
出现,9.9666
用于,9.9475
具备,9.9451
统计,9.9379
Security,9.9292
提出,9.6692
结合,9.6617
网络通信,9.6559
程序,9.6162
产品设计,9.6078
信息化,9.5909
ISP,9.5726
Fig,9.5583
resources,9.5488
for,9.4620
Application,9.3743
体系,9.3699
带来,9.3632
部分,9.3532
Packet,9.3352
control,9.2888
标准,9.2848
自动,9.1897
虚拟,9.1854
考虑,9.0819
网络资源,9.0695
限制,9.0489
管理系统,9.0357
Firewall,9.0312
生命周期,9.0140
Technology,8.9936
网闸,8.8492
阶段,8.7760
插件,8.7731
成为,8.7607
特点,8.7598
集成,8.6739
technologies,8.6195
分布式,8.6072
完整性,8.5981
智能,8.5444
建设,8.4855
S3C2440,8.4737
列表,8.4699
不能,8.4670
没有,8.4634
得到,8.4548
信息系统,8.4518
转换,8.4347
iptables,8.4304
措施,8.3963
转发,8.3545
engineering,8.3179
特征,8.3030
档案,8.2746
油田,8.2403
属于,8.1776
算法,8.1730
局域网,8.1604
导致,8.1596
评估,8.1540
摘要,8.1534
服务端,8.1457
登录,8.1426
工具,8.1394
problems,8.1325
analysis,8.1268
DMZ,8.1030
FTP,8.0992
关键字,8.0969
一致性,8.0928
信任,7.8982
密钥,7.8924
安装,7.8693
防范,7.8692
避免,7.8580
活动,7.8514
TCAM,7.8390
Flood,7.6752
filtering,7.6410
加强,7.5863
扫描,7.5520
拦截,7.5504
修改,7.5389
隔离,7.2901
生活,7.2632
函数,7.2609
接收,7.2608
进入,7.2605
原理,7.2560
方向,7.2500
分为,7.2474
通信协议,7.2468
Computer,7.2257
应用程序,7.2246
IP地址,7.2232
产品安全,7.2054
测试仪,7.1406
架构,7.1038
信号,7.0840
结构,7.0036
Based,6.9928
header,6.9835
因素,6.9753
场景,6.9678
降低,6.9542
边界,6.9448
带宽,6.9356
审计,6.9355
rail,6.9253
合理,6.8732
improve,6.7658
数据流,6.6975
稳定性,6.6925
可靠性,6.6914
UDP,6.6905
代理,6.6839
authorization,6.6828
网关,6.6778
改变,6.6594
密码,6.6502
逻辑,6.6446
网络地址,6.6346
NIDS,6.6317
SMTP,6.6119
攻击行为,6.6116
时代,6.6110
限于,6.6108
远程管理,6.6050
time,6.4846
路径,6.3778
合法,6.3555
独立,6.3537
物理,6.3494
基本,6.3415
现场,6.3356
业务,6.3345
万兆,6.3107
Alice,6.3059
Flash,6.3053
TP393,6.2919
因特网,6.2321
处理器,6.2245
非对称,6.2222
The,6.2161
分类号,6.2101
TELNET,6.2075
价值,6.0662
屏障,6.0661
可能,6.0578
效率,6.0552
区块,6.0390
升级,6.0270
